Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Canada,CAN,54340.3477224733,2.38158383281173,6.351,82.1080487804878,104.320877075195,100.0,98.2902608624259,98.5878834990178,1.7591249,0.5984769,1.4608299,39.4617117321106,6.56566994375263,23.8,1
Cayman Islands,CYM,99143.5180243123,3.117463837096035,5.1895,80.54,84.7603098178773,100.0,95.4601226993865,83.2442168711656,1.1842501,1.4607897,0.8301334,52.4720833333333,20.0287144500145,0.0,1
Central African Republic,CAF,516.160999996036,1.47733600718743,6.253,57.671,92.65956406180274,17.6,36.5040268237207,14.0362838980325,-1.57655,-1.83294689999999,-1.7147975,35.6560403223217,34.4334184466457,90.9,0
Chad,TCD,961.55975562506,8.89950732263754,1.053,55.238,23.49298947746,12.0,52.2090525523694,13.1415290614475,-1.1005006,-1.77893219999999,-1.4446512,3.16103105146125,49.1388484128027,70.0,0
Chile,CHL,16709.8893972307,4.29763891572524,8.718,81.359,105.608551025391,100.0,99.0811612150969,99.9999955987514,0.964461,0.1213566,0.6910553,25.0116461113584,23.2750668049145,24.2,1
China,CHN,13303.1481543868,0.218128938439177,4.59,78.017,92.65956406180274,100.0,96.1224151867516,97.2718787578263,0.8957842,-0.153336399999999,-0.579319799999999,24.0319389958256,34.8105237153218,15.2,2
Colombia,COL,7919.20886825345,6.60908593728228,9.619,77.913,101.573776245117,98.7,97.0965711084738,96.5820151977995,-0.111099099999999,-0.9708732,-0.5597434,52.7661596214511,14.1832514905064,29.7,2
Comoros,COM,1662.75663312504,5.05192609588218,3.815,67.023,54.8057289123535,89.8,85.0539278589302,57.2230888156822,-1.2085975,-0.221274299999999,-1.1308597,16.9801182160129,11.9332724091044,39.3,2
"Congo, Dem. Rep.",COD,649.383338556725,3.117463837096035,4.421,62.074,55.4860992431641,22.1,35.6813611952254,16.3033122368932,-1.6934449,-2.1191762,-1.6266053,54.1898572594341,26.6494833206385,96.3,0
"Congo, Rep.",COG,2482.2489948456,3.09143630919166,19.895,66.001,92.65956406180274,51.3,97.0965711084738,92.9912822357176,-1.110638,-0.2584147,-1.1785603,64.1317715959004,28.5737499496554,71.4,3
Costa Rica,CRI,18587.1532203482,-0.412853001047069,6.936,80.996,121.810760498047,100.0,99.8154123406248,98.7888406524124,0.2868975,1.1756544,0.6167412,60.3991382687035,14.3075712471404,34.2,1
Cote d'Ivoire,CIV,2727.8935220697,3.45053028131018,2.273,62.11,65.3065056618336,72.4,77.2470593822361,40.4070687976128,-0.3157177,-0.8438331,-0.578144099999999,7.85551603773585,49.4977827339493,58.2,0
Croatia,HRV,24050.4397933135,2.97200477643618,5.0,78.9292682926829,105.025161743164,100.0,99.903181204483,92.9912822357176,0.7097625,0.5814089,0.3774835,34.785739814153,16.1208592960264,34.1,1
Cuba,CUB,9605.27914559614,3.117463837096035,1.755,78.264,91.7456844321038,100.0,95.1464064347704,94.7703506688301,-0.2695183,0.3155266,-0.6235716,31.233140655106,21.2367242811561,20.9,2
Cyprus,CYP,38674.29296875,1.80023018624815,4.9,81.821,106.741279602051,100.0,99.7211088299984,99.477676242612,0.8696373,0.3858613,0.6891912,18.6655844155844,13.508701890821,15.6,1
Czechia,CZE,31823.3078290564,2.43531202435314,2.6,79.9780487804878,97.6154174804688,100.0,98.7341483522106,99.0700543925256,1.1773279,0.9719006,1.1881307,34.7623883740408,14.1110711384133,17.2,1
Denmark,DNK,71026.4832271897,1.37220049768925,5.358,82.2536585365854,125.628089904785,100.0,99.9999997876119,99.5972261435858,1.9128986,0.7688761,2.0043149,15.7815,9.06983927345931,39.5,1
Djibouti,DJI,3552.72335079222,2.1120116728497,26.007,66.202,92.65956406180274,65.2,79.661532568521,67.0234840121481,-0.4930443,-0.5563593,-1.01039869999999,0.260724762726488,35.9243304831101,26.9,3
Dominica,DMA,10405.2787777582,2.56921890367725,5.1895,71.294,102.585807800293,100.0,96.9953113262366,92.9912822357176,0.1490422,1.2341643,0.3974621,63.8266666666667,20.6672998234563,8.9,2
Dominican Republic,DOM,10875.6618443092,3.30223338951227,5.312,73.868,76.3648403372637,99.6,97.4571299883182,90.1198237574984,0.0746487,0.5893402,-0.1822626,44.9887775472934,19.8267440369685,14.8,2
Ecuador,ECU,6874.705739766,1.54732515615369,3.453,77.579,92.8118025876465,98.7,92.0708709697554,91.204340143216,-0.2196127,-0.7210909,-0.9650369,49.5450958286359,16.6570210758922,18.9,2
"Egypt, Arab Rep.",EGY,3338.47371395895,28.2705899322082,6.817,71.806,84.8286031306453,100.0,97.2982426280194,97.086129419198,-0.0970579,-0.9779235,-0.751539899999999,0.0451855944547692,54.8587056496436,6.1,3
El Salvador,SLV,5579.65969165029,0.853782292567288,3.261,72.302,62.1425847697468,98.3,91.6199927341916,88.0411163426053,-0.1831795,0.0061325999999999,-0.7133592,27.5279922779923,20.0287144500145,21.9,2
Equatorial Guinea,GNQ,6745.40013244916,2.92140227309103,8.293,63.906,92.65956406180274,66.9,97.0965711084738,92.9912822357176,-1.1825117,-0.1409375,-1.54035759999999,86.3935828877005,35.3790521811967,4.2,2
Eritrea,ERI,8074.625991382481,3.117463837096035,5.947,68.893,44.0441284179688,54.4,97.0965711084738,92.9912822357176,-1.45617889999999,-0.7086146,-1.8026292,8.63010013352237,32.3515206386852,80.7,0
Estonia,EST,31428.3547816104,3.5194118998392,7.6,79.2951219512195,108.538726806641,100.0,99.9999970212441,99.0214935273124,1.2969908,0.6995763,1.4864478,57.0652937046572,6.14573290973003,38.0,1
Eswatini,SWZ,3909.55892378182,3.117463837096035,34.643,64.264,92.65956406180274,86.4,80.3737107191052,64.4605026249554,-0.7811414,-0.7327829,-0.8598771,29.1389534883721,18.7831211422857,64.7,3
Ethiopia,ETH,1133.88279681719,21.037746057771,3.357,67.603,92.65956406180274,55.4,55.5960696159493,10.3577188356734,-0.645991,-1.88497389999999,-1.04892419999999,14.9308975782695,27.3053276470482,90.6,0
Fiji,FJI,6425.74151715712,3.89084237884105,5.361,67.463,98.0927630329298,99.3,95.5603898762947,92.7542897592228,0.6089609,0.6984398,0.3057786,63.4953475643131,12.4187981716598,28.4,2
Finland,FIN,53149.7671934051,1.56568906231615,8.4,82.3365853658537,142.395156860352,100.0,99.9999966968731,99.4479455340914,1.8171611,0.8325695,2.0212705,73.7235162521384,4.89518090216668,50.2,1
France,FRA,46103.0840855884,1.99904942291462,7.4,82.9804878048781,103.78540802002,100.0,99.9999974759961,98.6443761623837,1.2007009,-0.241365399999999,0.97866,32.4764820484275,9.60038144780495,16.2,1
French Polynesia,PYF,22439.8838746025,3.117463837096035,11.613,84.192,92.65956406180274,100.0,100.0,97.5098895490704,0.0100272,1.0303397,1.0171948,43.0596369922213,20.0287144500145,7.0,1
Gabon,GAB,8230.04311451151,1.17311998381218,20.091,68.511,92.65956406180274,94.1,88.5995009085574,57.4015026293834,-0.5671547,-0.276887,-1.155705,91.1823650405558,29.9548734558765,91.3,3
"Gambia, The",GMB,871.340291776294,11.5610532897511,6.48,66.057,107.027125590442,66.9,87.1034800376148,48.1711442175538,-0.5358243,-0.0180453,-0.394193399999999,22.2792391304348,58.3640402179659,47.7,0
Georgia,GEO,9241.49122313713,1.10971758022096,11.557,74.657,100.959315536762,100.0,97.2900166595814,90.6806864880112,0.4562672,-0.6127592,0.1489667,40.6159159591308,17.0438421058507,25.2,2
Germany,DEU,56103.7323182554,2.2564981433876,3.4,80.7926829268293,100.243698120117,100.0,100.0,99.2269528917777,1.5462994,0.1242671,1.6257844,32.6789342643734,10.2876894329414,17.6,1
Ghana,GHA,2390.77237652715,22.8483281157842,2.82,65.695,75.7174682617188,89.5,89.9220116872755,31.5789404731982,0.0595796,0.0114605,0.0539695,35.1921958573042,54.2427873097724,39.0,0
Greece,GRC,24626.1481858973,2.74101875679477,10.02,81.8390243902439,105.191741943359,100.0,100.0,99.0072631280035,0.1912731,0.1394204,0.2983017,30.2699767261443,14.4089280374361,21.5,2
Greenland,GRL,58498.9707973609,3.117463837096035,5.1895,70.2734146341463,92.65956406180274,100.0,100.0,92.9912822357176,1.3528493,1.2405187,1.5744958,0.0005359970763795,6.55624754182179,11.7,1
Grenada,GRD,11705.0902976658,1.08615365134737,5.1895,75.367,100.731679432948,94.4,97.0965711084738,92.6192396904393,0.0201444,1.1992639,0.5408822,52.0588235294118,24.6572416056476,10.0,2
Guam,GUM,41833.1517132825,3.117463837096035,5.252,77.422,92.65956406180274,100.0,99.5293013959399,90.3765791487569,1.269394,0.9927487,1.0346735,51.8518518518518,9.57510553293178,6.7,1
Guatemala,GTM,6150.02571438505,2.86992752918294,2.613,72.746,49.5765804970836,100.0,93.1845373918033,71.1696950985045,-0.9093696,-0.209766899999999,-0.962274,32.5961179544606,21.6357355920496,62.1,2
Guinea,GIN,1694.95375862193,8.12313914948596,5.132,60.904,92.65956406180274,51.1,74.1924841600776,32.6496371481415,-0.8881627,-1.0377627,-1.1479306,24.6988442129253,43.7674450148382,66.6,0
Guinea-Bissau,GNB,1007.74151728028,3.76555825770114,2.647,64.254,92.65956406180274,40.5,61.8077030171668,28.9416006403664,-1.3676142,-0.618439499999999,-1.23482809999999,69.5124466571835,50.2127655060307,87.4,0
