Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Netherlands,NLD,67520.4218956281,3.34754304219953,3.7,81.9658536585366,137.514724731445,100.0,100.0,97.6566689550594,1.7519974,0.4281196,1.7069218,11.0574428274428,10.8892498470498,12.2,1
New Caledonia,NCL,29213.1923192946,3.117463837096035,10.991,78.921,92.65956406180274,100.0,99.5386729881695,100.0,0.0100272,1.0976197,1.0851316,45.8271334792123,20.0287144500145,9.6,1
New Zealand,NZL,49205.1792146792,2.92279782301957,4.724,82.009756097561,114.231056213379,100.0,100.0,100.0,1.8491848,1.1506563,1.6674536,37.7892841137822,6.48591499675774,28.9,1
Nicaragua,NIC,2847.53966339498,4.62473841057141,4.98,75.1,70.1749572753906,88.3,97.0965711084738,92.9912822357176,-1.0529768,-0.0694255,-1.6197013,25.8229183978727,16.809772538789,50.4,2
Niger,NER,735.270255787226,9.07151997725013,0.376,61.433,19.8664761204349,20.1,53.4274656286176,16.336047650863,-0.7696662,-1.7634214,-0.9457241,0.822957290597616,85.1223455605238,79.6,0
Nigeria,NGA,1084.16041805436,33.2420966545406,3.045,54.635,46.8931503295898,61.2,82.2488935172216,47.9019370619136,-1.0065889,-2.0025617,-1.0069453,23.2078900271199,56.5313287289257,80.3,0
North Macedonia,MKD,9291.85661671864,3.48974086026954,12.265,76.6165853658537,90.0724868774414,100.0,98.1873314046173,98.9975865642367,-0.0323427,0.1558087,-0.224929699999999,39.7101506740682,26.118651401474,19.5,2
Norway,NOR,86785.4334489176,3.14530134431081,4.0,83.1609756097561,116.254272460938,100.0,100.0,98.0470498172276,1.843057,0.9032646,1.9494549,33.5009745518434,6.05589724673443,61.4,1
Oman,OMN,20285.2272897377,0.593589236248469,3.203,80.246,95.1220397949219,100.0,92.6702187093673,99.3209329311967,0.5675096,0.6272361,0.4493583,0.0076226171243941,39.5835768902765,0.1,1
Pakistan,PAK,1478.77277977996,12.6325318530452,5.492,67.799,48.2805022055997,95.6,90.6932992273275,71.8828600416756,-0.6003273,-2.0634311,-1.017096,4.67242631797426,42.9981734249878,41.6,3
Palau,PLW,15610.8231931032,2.23172772921704,5.1895,69.383,95.7270847691247,100.0,99.5322473497037,99.0248681264887,0.0100272,1.2387076,1.1710347,90.5434782608696,7.32770979431049,0.9,2
Panama,PAN,19161.2188501596,0.693225551004538,8.451,79.775,92.65956406180274,97.0,95.2628238815705,89.0540402475148,0.2451472,0.264681,-0.2634275,56.3439727689404,11.4700607490209,28.0,2
Papua New Guinea,PNG,3006.70564478923,0.602403921107917,2.625,66.256,52.0929750873194,20.5,53.298484868619,23.5743391458237,-0.900446699999999,-0.653875,-0.571332899999999,78.9541359360509,17.3105425567239,54.6,0
Paraguay,PRY,6416.09708970845,3.83540271728533,5.686,73.982,79.1305613911018,99.8,99.6035956651355,95.9347586765151,-0.3545101,-0.0738359,-0.5835849,38.5449252640128,10.0891599097852,58.8,2
Peru,PER,8452.37167056621,2.00770739412712,5.199,77.941,108.289047241211,96.2,95.6370823826383,78.7732036574365,-0.2004128,-0.6544223,-0.5057749,56.103020234375,27.0356284968814,30.6,2
Philippines,PHL,3984.8315387656,3.21260487006347,2.202,69.946,85.2945085684493,98.0,95.8592214925506,87.1527398416478,0.1445214,-0.7741477,-0.5739681,24.4600731126539,20.2887417122616,28.0,2
Poland,POL,25103.565661423,3.79060897630197,2.807,78.409756097561,107.881309509277,100.0,90.124463310463,98.9561729534462,0.6734027,0.498655,0.5769112,31.0804192379273,17.9583314936851,15.2,1
Portugal,PRT,29292.242104753,2.41613187791884,6.5,82.3829268292683,120.347076416016,100.0,99.287612173499,99.6591815840337,0.9474847,0.536927,1.0721547,36.154994891142,8.45242266236737,32.3,1
Puerto Rico (US),PRI,39343.7154660139,3.117463837096035,5.639,81.902,81.4824139700154,100.0,100.0,100.0,-0.2552121,0.4382506,0.546037,56.1217587373168,7.18841521712249,2.5,2
Qatar,QAT,76688.6941743178,1.26734310292375,0.13,82.522,99.578857421875,100.0,99.9889721417312,99.936545083788,1.1342702,0.9511752,0.589593,0.0,75.6630329481338,0.0,1
Romania,ROU,20080.2096215595,5.72140574354439,5.4,76.4585365853659,81.6316070556641,100.0,99.9999994247989,90.5413612422841,0.4181246,0.1588848,0.3710995,30.1158292767733,14.8501731264834,23.6,2
Russian Federation,RUS,14889.0185546875,8.43486410496723,2.43,73.4404878048781,92.4840470838527,100.0,96.9002616074642,92.2175878296841,-0.3215539,-0.903284699999999,-1.15651859999999,49.7843605035639,11.2727775886895,3.5,2
Rwanda,RWA,999.65456165547,1.77029240198635,11.331,68.017,48.790277194547,63.9,61.392176021167,81.3307323783745,0.3489076,-0.0436888999999999,0.1002757,11.3092825293879,31.2882654917538,79.9,0
Samoa,WSM,5392.87761915762,2.17245530514377,4.855,71.826,92.65956406180274,100.0,99.4409290344985,97.0991039585403,0.4344899,1.2384523,1.0529651,57.636690647482,12.5518952802963,35.9,2
San Marino,SMR,59879.7173015651,1.24216507945569,5.1895,85.817,60.3746397694525,100.0,99.9999961845643,100.0,0.8976214,1.3727102,1.1578037,16.6666666666667,10.6908983278922,21.15,1
Sao Tome and Principe,STP,3490.56883486557,14.3519273571008,9.057,69.905,92.65956406180274,81.3,77.957445837032,48.6785052753612,-0.718673799999999,0.4890127,-0.3531666,52.125,27.3357522767854,42.5,2
Saudi Arabia,SAU,35121.6628687742,1.68792112375809,3.518,78.982,110.66346516974,100.0,99.0407817713525,97.6074983619299,0.7833016,-0.048171,0.2103549,0.454484134921779,53.1486013629285,0.1,1
Senegal,SEN,1773.21829923448,0.804503298792438,2.788,68.924,44.0673682244069,74.2,88.0435670438381,62.5195952667746,0.2344127,-0.228555999999999,-0.2046739,41.2827091881785,63.7402211262202,35.4,0
Serbia,SRB,13679.2065983557,4.6705297488997,7.24,75.9682926829268,89.8402786254883,100.0,95.39838202106,97.9422983506613,0.1019486,-0.168638999999999,-0.2000778,32.3896349149721,22.5075355689004,27.2,2
Seychelles,SYC,17858.8226383978,0.311726050919668,5.1895,76.2951219512195,70.824577331543,100.0,97.7273290215423,99.7,0.6267672,0.9164443,0.5968987,73.2608695652174,8.49983857722866,1.9,2
Sierra Leone,SLE,806.654650417726,28.6337500014115,3.103,61.964,86.9079513549805,35.5,68.0790238061869,24.9136362418086,-0.9671017,-0.4501536,-0.8385756,34.2988362427265,43.2210935036927,71.6,0
Singapore,SGP,90674.066632628,2.38951123595017,2.737,83.3463414634146,103.082801906213,100.0,100.0,100.0,2.2796267,1.2318778,1.4311756,20.933147632312,13.8691955865476,1.1,1
Slovak Republic,SVK,25992.6748502048,2.75760909424272,5.3,78.3707317073171,93.1929931640625,100.0,99.7860717473563,97.5429596376154,0.6575804,0.6343713,0.5609435,40.05615640599,15.3916194257365,17.9,1
Slovenia,SVN,34301.0318686594,1.96562656432512,3.7,82.2853658536585,107.626876831055,100.0,99.5745942010052,98.3111577508786,1.0893351,0.7209146,0.9786636,61.1748938389332,14.2911527506818,23.4,1
Solomon Islands,SLB,1933.55538435227,4.32183948388033,1.444,70.694,92.65956406180274,81.3,71.6090318452294,34.6490737425976,-0.868619199999999,0.7499116,0.1533565,90.0600214362272,13.9542830081778,50.1,2
"Somalia, Fed. Rep.",SOM,629.538899449007,3.117463837096035,18.949,58.967,3.34785008430481,50.3,75.2947964571377,44.4568438332571,-1.95005229999999,-2.2630781,-2.2054496,9.16528517231485,24.525108218562,95.4,0
South Africa,ZAF,6267.186814093,4.36115246518962,32.279,66.312,104.133480684239,87.7,90.1916801364739,77.384521067613,-0.2259135,-0.6171348,0.017703,13.965072665672,23.753069242361,9.7,3
South Sudan,SSD,8074.625991382481,91.4408220769046,12.374,57.738,122.120628356934,5.4,39.7494391327564,14.4282401482886,-2.1728459,-1.4896464,-1.9725304,11.3256215087114,30.7373478613476,32.4,0
Spain,ESP,35326.7683069278,2.77417826534772,11.4,83.8878048780488,118.537803649902,100.0,99.9247001396709,99.9181189186239,1.110811,-0.002992,0.9317736,37.1925889548355,9.58105460690675,19.0,1
Sri Lanka,LKA,4515.56787322732,-0.42936004906973,4.239,77.672,87.9534065332114,100.0,90.2138440260395,95.3530207374149,-0.2745215,-0.350302399999999,-0.2577461,34.0048496605238,19.9644408635608,48.8,2
St. Kitts and Nevis,KNA,23960.6534357084,3.55711230848243,5.1895,72.281,137.513208876365,100.0,97.0965711084738,92.9912822357176,0.6913852,0.9121334,0.5904494,42.3076923076923,8.5943079884613,1.5,1
St. Lucia,LCA,14181.6303351598,-0.110283575834694,10.199,72.846,87.8672424011515,100.0,98.0956816576068,92.9912822357176,0.2682296,1.0382485,0.5032686,34.0491803278688,23.7585855502375,9.7,2
St. Vincent and the Grenadines,VCT,11501.2265187188,3.62770736940927,18.093,71.382,124.871794871795,100.0,97.0965711084738,92.9912822357176,0.2682296,1.0382485,0.5017878,73.1794871794872,23.9262758481858,5.1,2
Sudan,SDN,984.607666015625,138.80846024176,7.53,66.521,92.65956406180274,66.0,64.8917129502851,65.7085965688426,-1.79393619999999,-2.0243381,-1.7733122,9.55196466809422,45.8349025581217,61.0,0
Suriname,SUR,6961.78955961526,16.2296159130279,7.621,73.757,76.1109237670898,99.6,97.9978493893275,89.9982745800564,-0.454291699999999,0.4782277,-0.2085757,94.44758351333,27.3059698425997,14.5,2
Sweden,SWE,57117.4877440616,2.83581658224034,8.4,84.0634146341463,131.96354675293,100.0,99.7607966673045,98.743188223274,1.7746948,0.6035115,1.7267013,68.7013529108454,5.63670790600148,57.9,1
Switzerland,CHE,103998.186685604,1.06234041976594,4.343,84.4073170731707,101.4287109375,100.0,99.9999967819997,99.8998709349206,1.8402935,0.9806678,1.7636516,32.3827380818297,9.06104968621636,27.7,1
Syrian Arab Republic,SYR,1051.67149587463,3.117463837096035,13.359,72.56,38.736930847168,88.4,94.1259941580026,95.6484324566991,-1.6726478,-2.3680716,-1.813556,2.84310842454937,24.7058382627422,1.1,3
Tajikistan,TJK,1341.20229027672,3.117463837096035,7.041,71.927,86.9035257819264,100.0,89.1914749965589,95.9857039731115,-0.6009336,-0.2756522,-1.18373399999999,3.07514950644859,37.0534062306267,34.9,3
Tanzania,TZA,1186.71691894531,3.05694676312373,1.557,67.212,28.231330871582,48.3,64.6059619473789,37.2193614570345,-0.2924507,-0.3895961,-0.5194228,50.0541883043576,25.081431153535,78.3,0
Thailand,THA,7346.62022142185,1.36580540798037,0.781,76.564,92.507325535959,100.0,100.0,99.3504878190651,0.2536395,-0.6833311,-0.2155096,38.6873886746658,31.0072016277159,19.0,2
Timor-Leste,TLS,1331.9705130185,2.06284153005468,1.523,67.904,84.7410404382553,100.0,87.3296506057336,72.935802279964,-0.898562299999999,0.5260108,-0.6256762,61.6610625420309,17.4104661970888,11.4,2
Togo,TGO,1119.38160509429,2.86262074089801,1.948,62.935,63.4192515229188,59.2,64.7862455498292,25.1681056691569,-0.8014589,-0.8094466,-0.632861,22.0700496414782,51.6661369398223,75.1,0
Tonga,TON,5651.59373063157,3.230563002681,1.965,73.07,92.4258049730721,100.0,98.8583466602623,93.933454352263,-0.0372776,1.254781,0.6942664,12.4305555555556,12.4784129504796,2.3,2
Trinidad and Tobago,TTO,18733.4110406494,0.526884625776839,3.318,73.617,95.6815649255588,98.7,99.2503077495039,94.1780681697959,0.1112932,0.3600136,-0.371533,44.2358674463938,25.6022583642289,0.5,2
Tunisia,TUN,4181.13789301228,7.20661657168794,15.341,76.711,92.65956406180274,100.0,96.7327873288014,98.5373409254893,-0.2393469,-0.9248175,-0.3644942,4.55278063851699,24.1829826735327,11.6,3
Turkiye,TUR,15892.7157287241,58.5064507300342,8.8,77.421,118.411979675293,100.0,95.9866257794699,99.2777016762549,-0.0707153,-0.970710499999999,-0.8434149,29.4795681041539,21.6120469179783,12.0,2
Turkmenistan,TKM,6856.65802730208,3.117463837096035,4.02,70.201,94.6464126735365,100.0,99.9219552580212,99.7354493287639,-1.0591384,0.2455892,-1.4131747,8.78215904496414,19.5997611438189,0.1,2
Tuvalu,TUV,6344.7750188689,3.117463837096035,5.1895,67.259,90.6571654790182,100.0,98.7415397759091,89.674451389507,-0.6909856,1.4687654,1.2213564,33.3333333333333,5.91780105591262,5.2,2
Uganda,UGA,1077.91278452817,3.3233806708656,2.74,68.487,92.65956406180274,51.5,63.0058015721971,23.896386630237,-0.3501362,-1.0222248,-0.738524299999999,11.0419703770197,33.8077192571642,90.9,0
Ukraine,UKR,5389.47314453125,6.50198464669254,9.834,74.692,86.1695022583008,100.0,93.4790922597539,97.7258264478011,-0.5988431,-0.432315,-0.720198999999999,16.7552640662755,14.90010098879,8.9,2
United Arab Emirates,ARE,50273.5060469837,1.66336510224894,2.16,83.069,102.129724902444,100.0,100.0,99.0868783474854,1.2599659,0.7886704,0.4968448,4.46775556181357,36.3055030826594,1.0,1
United Kingdom,GBR,53246.3676145108,3.2715729463592,4.361,81.3868536585366,112.120048522949,100.0,99.9999991412127,99.1026610062551,1.1849099,0.2577085,1.269914,13.2907130161617,9.91288560282114,12.2,1
United States,USA,84534.0407841548,2.94952520485207,4.022,78.890243902439,97.4734878540039,100.0,99.9804443465812,99.6182734760609,1.3599787,-0.0951125,0.9617896,33.8669264120375,7.81485752365112,10.9,1
Uruguay,URY,23906.5133029408,4.84914366613156,8.209,78.287,119.105005958635,100.0,99.6326913879836,99.1507922342621,0.6904799,1.2779376,0.9505638,11.9643469317792,10.5717923259135,57.8,1
Uzbekistan,UZB,3161.70010632875,9.62825465956682,4.439,72.528,96.8399222342106,100.0,97.2904869756033,96.547826032469,-0.1435922,-0.0267335,-0.6562072,8.54914331101781,31.9604294559849,1.0,2
Vanuatu,VUT,3410.77023167097,11.1825017088175,4.988,71.654,134.670675170038,61.6,87.1200605921327,47.8141509828146,-0.8168523,0.960216,0.4215614,36.2838392124692,14.0824115364695,25.0,2
"Venezuela, RB",VEN,4217.59102643391,3.117463837096035,5.321,72.673,97.7908172607422,100.0,93.3316109894304,98.3955859787771,-1.46624969999999,-1.74042419999999,-2.20427409999999,52.2338793719177,15.2565796212874,33.7,2
Viet Nam,VNM,4717.29028732449,3.62109273885843,1.602,74.736,93.4123434096522,99.8,98.761246653694,95.447026934425,-0.0922968,0.0056736,-0.3139343,47.4454820708996,20.8010641731194,24.2,2
Virgin Islands (U.S.),VIR,44320.909185774,3.117463837096035,11.423,80.7707317073171,92.65956406180274,100.0,99.4656802967685,99.2588820364163,0.3747914,0.9711697,0.5793123,58.1714285714286,8.63342756669479,5.9,1
West Bank and Gaza,PSE,2592.30591217647,53.6691458303782,24.42,69.213,89.1210984011759,100.0,98.7717073984261,99.3950169288026,-1.0985907,-1.8763518,-0.989397099999999,1.68298755186722,26.3636264444046,15.4,3
"Yemen, Rep.",YEM,8074.625991382481,3.117463837096035,16.97,69.439,92.65956406180274,83.6,75.0357620960457,63.0827307655577,-1.87279819999999,-2.7505641,-1.90158959999999,1.03983180862549,34.8323598356099,3.7,3
Zambia,ZMB,1187.10943350064,14.9856262747939,5.898,66.528,56.7889289855957,51.1,73.4120376414689,37.4763362189112,-0.5330555,-0.1007849,-0.5611771,59.523784150984,24.3085919008655,83.0,0
Zimbabwe,ZWE,2497.20332208763,104.705170628667,9.435,63.064,92.65956406180274,62.0,67.2110209689938,34.6414985324477,-0.9876299,-1.0172382,-1.2109412,44.7366421093447,19.4941796611344,82.4,0
