Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bahrain,BHR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5964745,-0.5041164,-0.482549599999999,-0.5007436,-0.2758672
Bangladesh,BGD,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.7213698,-0.563899399999999,-0.62345,-0.5574534,-0.618974599999999
Bangladesh,BGD,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.8969166,-0.974914899999999,-0.973641299999999,-0.9020256,-0.9600594
Bangladesh,BGD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.01518479999999,-1.0535518,-1.0954422,-1.0359445,-1.46295089999999
Barbados,BRB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.6105647,0.6625554,0.7073038,0.6052291,0.60457
Barbados,BRB,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.7048546,0.7010659,0.7169373,0.7343145,0.7277751
Barbados,BRB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0680614,1.0845669,1.2066625,1.2767666,1.2722219
Belarus,BLR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6167824,-0.6825409,-0.5969261,-0.596406099999999,-0.7015463
Belarus,BLR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.8602112,-1.0672559,-1.1591441,-1.2155307,-1.2305997
Belarus,BLR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.818298499999999,-0.616372399999999,-0.6168791,-0.392606499999999,-0.3773003
Belgium,BEL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.1695968,1.2282716,1.3103839,1.1646047,1.1947395
Belgium,BEL,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.4533249,1.4052126,1.3398087,1.2719977,1.282799
Belgium,BEL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3686413,0.461917,0.2465264,0.1994126,0.1214526
Belize,BLZ,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.3797712,-0.378268799999999,-0.141304899999999,-0.0642292,-0.129095
