Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Cabo Verde,CPV,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,80.9181460926349,83.0030877232497,83.045304882988,83.0869470550891,83.1279216157097,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.4,82.5,92.3,95,..,..
Cambodia,KHM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,78.6484857238686,79.7640004029773,80.8599549237853,81.8888688771299,82.8497572939701,..
Cambodia,KHM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,70.4910427870757,73.7752065517154,77.0641162411033,80.3569034278216,83.3359328714314,..
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.3,65.4,71,72,..,..
Cameroon,CMR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,69.29764588045,69.787122797367,70.2600597493354,70.7167101481695,71.410178711283,..
Cameroon,CMR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,45.2885112207418,45.7300133468788,46.1747220268822,46.6226225275107,47.0729484414837,..
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Canada,CAN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.4952442433058,98.4271662446964,98.35892858848,98.2905039744417,98.2902608624259,..
Canada,CAN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,98.6730086081464,98.5885671606396,98.5883597851291,98.5881318805776,98.5878834990178,..
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Cayman Islands,CYM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.5733128834356,95.5355828220859,95.4978527607362,95.4601226993865,95.4601226993865,..
Cayman Islands,CYM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,83.3093007668711,83.2879829754601,83.2662883435582,83.2442168711656,83.2442168711656,..
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.4,15.7,15.7,17.6,..,..
Central African Republic,CAF,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,37.2024024961025,36.1973817854423,36.2950440146654,36.3972597405494,36.5040268237207,..
Central African Republic,CAF,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,14.1186349646869,13.7575074575386,13.8462941483121,13.939220081887,14.0362838980325,..
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.9,11.3,11.7,12,..,..
Chad,TCD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,51.195378612918,51.8991024750567,51.9951528405103,52.0983569633172,52.2090525523694,..
Chad,TCD,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,12.5503209104072,12.823518442494,12.9220668166821,13.0279538007946,13.1415290614475,..
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Channel Islands,CHI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..
Channel Islands,CHI,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Chile,CHL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.671391193466,98.7780212070676,98.8839274081625,98.9890250912798,99.0811612150969,..
Chile,CHL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.3144814902357,100,99.9999982963226,100,99.9999955987514,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
China,CHN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,93.9705270769772,94.6329735273297,95.4385845932759,96.0883413082236,96.1224151867516,..
China,CHN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,92.8514975328901,94.3857583646751,95.8923648413213,97.2411682339468,97.2718787578263,..
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,100,98.7,..,..
Colombia,COL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.3025836876793,96.5223081416627,96.7380353192518,96.9496589659827,97.0965711084738,..
Colombia,COL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,93.0987394041419,93.9711220297613,94.8425154559797,95.7128008202529,96.5820151977995,..
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.6,87.9,89.9,89.8,..,..
Comoros,COM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,85.4750115485724,85.368182871054,85.2623417962655,85.1575256557465,85.0539278589302,..
Comoros,COM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,52.6066035113726,53.7961210274577,54.9623663372908,56.104836588019,57.2230888156822,..
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.1,20.8,21.5,22.1,..,..
"Congo, Dem. Rep.",COD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,35.5104494105668,35.3236207810538,35.1273466119185,35.4034461859588,35.6813611952254,..
"Congo, Dem. Rep.",COD,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,16.1158651582213,16.1461710925268,16.1744730669276,16.2386817602994,16.3033122368932,..
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.7,49.7,50.6,51.3,..,..
"Congo, Rep.",COG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,73.2936799973637,73.4884211673414,..,..,..,..
"Congo, Rep.",COG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,20.4597460251332,20.5548099594917,..,..,..,..
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,..,..
Costa Rica,CRI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.8105394546059,99.8118715066538,99.8131236656386,99.8143035929016,99.8154123406248,..
Costa Rica,CRI,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,98.0823538854413,98.265064236441,98.4434940972081,98.6179737414505,98.7888406524124,..
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.9,71.1,72,72.4,..,..
Cote d'Ivoire,CIV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,75.9870680852305,76.3229847618577,76.6566348508061,76.9878854497263,77.2470593822361,..
Cote d'Ivoire,CIV,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,36.7505613601134,37.704616869195,38.6680398290793,39.6407426651959,40.4070687976128,..
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Croatia,HRV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9019753269295,99.9022621135501,99.9025569316728,99.9028641950813,99.903181204483,..
Croatia,HRV,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,95.7800263365526,95.7936994032533,..,..,..,..
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,..,..
