Country_slqi,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score,Country_for_merge,Country_hdi,hdi_rank,hdi_2023
Guatemala,GTM,143,0.597243595671507,0.6277801263356867,0.4331439809053615,0.8574736445706227,0.3880955393499387,0.5937730966176814,Guatemala,Guatemala,137.0,0.662
Lebanon,LBN,144,0.596830410432314,0.4829929479520556,0.5605286299513578,0.9586744845975405,0.2710914410179128,0.3473764341316799,Lebanon,Lebanon,102.0,0.752
Nauru,NRU,145,0.5952975907514234,0.6111802002646525,0.4039954087685211,0.8821792008061209,0.6537956801084207,0.3350522389086834,Nauru,Nauru,124.0,0.703
Bolivia,BOL,146,0.5941363674074244,0.6161922537478263,0.5021930949902371,0.8593623657520655,0.3605185764589547,0.4664847822740517,Bolivia (Plurinational State of),Bolivia (Plurinational State of),108.0,0.733
"Egypt, Arab Rep.",EGY,147,0.5899006344637443,0.5474537245421298,0.5319634306287657,0.9751628795753384,0.4064336310762744,0.1470154952457261,Egypt,Egypt,100.0,0.754
Solomon Islands,SLB,148,0.5893097374486903,0.6321022323492692,0.5397419883284175,0.5439651236140507,0.5529571752459147,0.7869586956275719,Solomon Islands,Solomon Islands,156.0,0.584
"Congo, Rep.",COG,150,0.5807460201310696,0.4563008363372258,0.4660962661515296,0.7872913713550092,0.3522280662502699,0.708436235385632,Congo,Congo,138.0,0.649
Iraq,IRQ,151,0.5794286351469914,0.5270002443718057,0.5668903154892988,0.986187766925341,0.1997936927074204,0.2055742138620387,Iraq,Iraq,126.0,0.695
Botswana,BWA,152,0.579185090758778,0.4249197742647403,0.4467820598503397,0.769100032446409,0.6834380926065493,0.4627518116819797,Botswana,Botswana,111.0,0.731
Kiribati,KIR,153,0.5717107114107168,0.5990182439612507,0.4678257152078675,0.6732028558958124,0.6729262517108863,0.4570758528456987,Kiribati,Kiribati,140.0,0.644
Bangladesh,BGD,154,0.5705265739445169,0.6028848532817911,0.5148499515570759,0.8715136868545792,0.3136025329826652,0.3152574476362768,Bangladesh,Bangladesh,130.0,0.685
Equatorial Guinea,GNQ,155,0.5680189743499666,0.5735372830239517,0.4332201127399421,0.8422596588814363,0.3273522830221924,0.5261231473855272,Equatorial Guinea,Equatorial Guinea,133.0,0.674
West Bank and Gaza,PSE,156,0.5650010012749827,0.340112474772848,0.5051013504105495,0.9913847161327152,0.243579396716766,0.3033801621813572,"Palestine, State of","Palestine, State of",133.0,0.674
Sao Tome and Principe,STP,157,0.5628165275629711,0.5459780300405158,0.5273604680220965,0.629034183411977,0.5041656209274185,0.5711699065972309,Sao Tome and Principe,Sao Tome and Principe,141.0,0.637
South Africa,ZAF,158,0.5562854943599442,0.3392548818323679,0.507941919569817,0.8217324159255623,0.4852076010870305,0.3378437691002601,South Africa,South Africa,106.0,0.741
Myanmar,MMR,159,0.5385205045421011,0.6192290909041835,0.4832640522289886,0.7480773119630156,0.1278542571906156,0.5867803174365941,Myanmar,Myanmar,150.0,0.609
Eswatini,SWZ,160,0.5238565718306165,0.3154776191152197,0.4388380902680319,0.7182120474949422,0.3655348197717055,0.6024236374963099,Eswatini (Kingdom of),Eswatini (Kingdom of),126.0,0.695
"Gambia, The",GMB,161,0.5228840560686008,0.571840143465258,0.5132626713037691,0.6238072169273464,0.4756108941616127,0.3549162741899899,Gambia,Gambia,170.0,0.524
Libya,LBY,162,0.5226256977067529,0.4702435982805024,0.5464427604080107,0.8439088786011965,0.16212348010101,0.2278488277385937,Libya,Libya,115.0,0.721
