Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,gdp_per_capita_normalised,life_expectancy_normalised,secondary_enrollment_normalised,electricity_access_normalised,drinking_water_access_normalised,sanitation_access_normalised,government_effectiveness_normalised,political_stability_normalised,rule_of_law_normalised,forest_area_normalised,renewable_energy_normalised,inflation_normalised,unemployment_rate_normalised,pm25_exposure_normalised
Bosnia and Herzegovina,BIH,9358.78768951134,1.69212733599723,10.69,78.044,87.8663787841797,100.0,96.0873127231219,92.9912822357176,-0.6353163,-0.5010614,-0.319134,42.7326171875,26.6019532713554,36.6,0.03175793686705336,0.7346996422070177,0.5445824805288703,1.0,0.9391671318052265,0.9218145982760696,0.34532039568306383,0.5191657797162508,0.446283537913949,0.45244796741113935,0.3800623052959502,0.9397490907947369,0.694028337148321,0.7294336343353802
Botswana,BWA,7695.75319445165,2.81835131676251,23.81,69.293,70.6292572021484,76.0,91.7713640807246,72.115456599001,0.4168893,1.0322942,0.3120842,26.2908263194114,18.9057549925814,27.4,0.02597913747821255,0.46004645031699226,0.43351766938368724,0.7463002114164905,0.872064520142417,0.6889353657803197,0.5816397837013079,0.8730509987276703,0.5956234953906696,0.2783642031000275,0.284527518172378,0.9348984595894706,0.3138817257265379,0.8253637137735336
Brazil,BRA,10310.5488778166,4.36746407652336,6.801,76.023,104.144660949707,99.8,99.9999987323028,92.4012701604853,-0.224002999999999,-0.5205702,-0.446218,58.9818729765235,12.1793252040724,46.5,0.03506516650639011,0.6712698512334442,0.6494691535083639,0.9978858350951374,0.9999999802903602,0.9152327479754203,0.4376990214381108,0.5146633172994116,0.41621672558824047,0.6244931927580657,0.48286604361370716,0.9282264522256546,0.8067105148784516,0.9092060110447024
Brunei Darussalam,BRN,33153.4738913513,-0.38867416503646,5.18,75.501,91.8381544399811,100.0,100.0,100.0,0.8351988,1.2027245,0.5876078,72.1062618595825,7.59726503432135,0.0,0.1144409590709411,0.6548866988889588,0.570174022076182,1.0,1.0,1.0,0.675589716150078,0.9123848388634366,0.6608096429191043,0.7634526917187423,0.0,0.9487110742591811,0.8536783241097559,0.9663195858452516
Bulgaria,BGR,17596.0173663521,2.44651943006078,4.2,75.7609756097561,94.7816314697266,100.0,99.1852515713458,86.0765607063355,0.0428203,0.0399268,-0.0333423,36.2196020633751,17.1474236131426,20.4,0.06038109409179888,0.6630461242155578,0.5891398754446272,1.0,0.9873326232676163,0.8446777668660514,0.49762601571091075,0.6440211802766906,0.513899015929633,0.3834889228083129,0.2118380062305296,0.936499934414685,0.8820734216092487,0.8472806216803075
Burkina Faso,BFA,981.992649769081,4.19081721344523,3.441,61.292,29.9905774531085,21.7,49.9986600107497,31.7963485938203,-0.8748674,-1.9063314,-0.883858599999999,22.172514619883,58.4706762025055,71.4,0.0026498106075497447,0.20893227041616982,0.17166842326467296,0.1723044397463002,0.22259953073604974,0.23915756582373168,0.29151858228167427,0.19484161008451142,0.3126753058476716,0.23475999909255113,0.7414330218068537,0.9289872678369302,0.9040651348767133,0.3322025584664862
Burundi,BDI,219.424830882698,20.2124925027847,0.915,63.818,44.9151717353101,11.6,65.9191041847553,44.6339890793582,-1.0060869,-1.3763566,-1.3028277,10.8894080996885,29.6541345084659,83.0,0.0,0.2882116627958069,0.26783281112274476,0.06553911205073995,0.4701241125657225,0.38236722446689747,0.26204742955633237,0.3171552131186238,0.21355137757998224,0.11529578306417557,0.8618899273104881,0.8599821325828345,0.9772549474111205,0.6913893976967299
Cabo Verde,CPV,5192.48157325878,1.0481698336865,11.883,76.224,96.4315940376876,98.6,92.2800892661912,83.1279216157097,0.4151952,0.7695825,0.424201,11.5682382133995,42.3225220905558,21.8,0.01728063810395111,0.6775783064465509,0.5997711621206021,0.9852008456659619,0.8799739721289668,0.8117843704427661,0.581259298485071,0.8124194091007355,0.6221492168360049,0.12248315714469073,0.22637590861889928,0.9425226069060271,0.6594616521310811,0.5334829375091173
Cambodia,KHM,2627.87969756224,0.808042016536654,0.254,70.817,58.7893230437643,95.0,82.8497572939701,83.3359328714314,-0.293501299999999,0.1284232,-1.0562612,43.0619759800589,24.1436022803452,52.4,0.008369025148284049,0.5078777226790532,0.3572288270143707,0.9471458773784355,0.7333550114751998,0.8141048296392516,0.42209009888123755,0.6644453844832832,0.27188656282208046,0.4559351798977607,0.5441329179646937,0.9435568341139471,0.9964071509286357,0.7600760109104336
Cameroon,CMR,1830.00833684727,4.53331349711606,3.603,63.968,44.840795775403,72.0,71.410178711283,47.0729484414837,-0.800788699999999,-1.55680399999999,-1.2537215,42.6741130925938,39.8126251004519,79.2,0.005596539944056362,0.29291946519364775,0.2673535807650826,0.7040169133192389,0.5554971028616564,0.4095749140799558,0.3081562366043535,0.2755095128850722,0.225169416825117,0.45182853287687263,0.8224299065420562,0.9275121410507534,0.8993712514125113,0.5647678146550585
Canada,CAN,54340.3477224733,2.38158383281173,6.351,82.1080487804878,104.320877075195,100.0,98.2902608624259,98.5878834990178,1.7591249,0.5984769,1.4608299,39.4617117321106,6.56566994375263,23.8,0.18806221822728872,0.8622512328318312,0.6506045757193705,1.0,0.9734176722432879,0.9842472047493571,0.8830982587068588,0.7729297155618851,0.8674053197892144,0.41781600189422646,0.24714434060228455,0.9367796111395004,0.8197490800567903,0.9791780122269107
Cayman Islands,CYM,99143.5180243123,3.117463837096035,5.1895,80.54,84.7603098178773,100.0,95.4601226993865,83.2442168711656,1.1842501,1.4607897,0.8301334,52.4720833333333,20.0287144500145,0.0,0.3437466216040841,0.813037474107087,0.5245689903701707,1.0,0.9294158367624459,0.8130816963691637,0.7539846511351918,0.9719440564521198,0.7181887913514785,0.5555682991712284,0.0,0.93361018607568,0.8534030655115464,0.8113664665541512
Central African Republic,CAF,516.160999996036,1.47733600718743,6.253,57.671,92.65956406180274,17.6,36.5040268237207,14.0362838980325,-1.57655,-1.83294689999999,-1.7147975,35.6560403223217,34.4334184466457,90.9,0.0010311143862698855,0.09528592053229556,0.5754666519440108,0.12896405919661735,0.012790470130941757,0.04103604922342156,0.13392466469080574,0.2117781183899215,0.1160834141820747,0.3775219968151894,0.9439252336448599,0.9406741940956251,0.8225885898067395,0.6318175063238749
Chad,TCD,961.55975562506,8.89950732263754,1.053,55.238,23.49298947746,12.0,52.2090525523694,13.1415290614475,-1.1005006,-1.77893219999999,-1.4446512,3.16103105146125,49.1388484128027,70.0,0.0025788093165106914,0.018925365639319614,0.12980218834950627,0.06976744186046512,0.2569658137093084,0.03105465623605667,0.24084264999182703,0.22424424427705172,0.17999734593260627,0.03346862814139774,0.726895119418484,0.9087070042573384,0.9732564540897635,0.4485201153618578
